Date,close,ticker
2020-01-02,152.15838623046875,MSFT
2020-01-03,150.26373291015625,MSFT
2020-01-06,150.6521453857422,MSFT
2020-01-07,149.27854919433594,MSFT
2020-01-08,151.65631103515625,MSFT
2020-01-09,153.5509490966797,MSFT
2020-01-10,152.84048461914062,MSFT
2020-01-13,154.67825317382812,MSFT
2020-01-14,153.58888244628906,MSFT
2020-01-15,154.58352661132812,MSFT
2020-01-16,157.41600036621094,MSFT
2020-01-17,158.29702758789062,MSFT
2020-01-21,157.7286376953125,MSFT
2020-01-22,156.9707794189453,MSFT
2020-01-23,157.9370574951172,MSFT
2020-01-24,156.34552001953125,MSFT
2020-01-27,153.73095703125,MSFT
2020-01-28,156.743408203125,MSFT
2020-01-29,159.18748474121094,MSFT
2020-01-30,163.67779541015625,MSFT
2020-01-31,161.2621307373047,MSFT
2020-02-03,165.1935272216797,MSFT
2020-02-04,170.63111877441406,MSFT
2020-02-05,170.42269897460938,MSFT
2020-02-06,173.95620727539062,MSFT
2020-02-07,174.20252990722656,MSFT
2020-02-10,178.75914001464844,MSFT
2020-02-11,174.72352600097656,MSFT
2020-02-12,174.97935485839844,MSFT
2020-02-13,174.03199768066406,MSFT
2020-02-14,175.5856170654297,MSFT
2020-02-18,177.36654663085938,MSFT
2020-02-19,177.89849853515625,MSFT
2020-02-20,175.18179321289062,MSFT
2020-02-21,169.64381408691406,MSFT
2020-02-24,162.3295440673828,MSFT
2020-02-25,159.65078735351562,MSFT
2020-02-26,161.64561462402344,MSFT
2020-02-27,150.2562255859375,MSFT
2020-02-28,153.8943634033203,MSFT
2020-03-02,164.13438415527344,MSFT
2020-03-03,156.2691192626953,MSFT
2020-03-04,162.00657653808594,MSFT
2020-03-05,157.9409942626953,MSFT
2020-03-06,153.47640991210938,MSFT
2020-03-09,143.07492065429688,MSFT
2020-03-10,152.8589630126953,MSFT
2020-03-11,145.9341583251953,MSFT
2020-03-12,132.09400939941406,MSFT
2020-03-13,150.87364196777344,MSFT
2020-03-16,128.63633728027344,MSFT
2020-03-17,139.22779846191406,MSFT
2020-03-18,133.3668670654297,MSFT
2020-03-19,135.56121826171875,MSFT
2020-03-20,130.4696807861328,MSFT
2020-03-23,129.16827392578125,MSFT
2020-03-24,140.90916442871094,MSFT
2020-03-25,139.5602264404297,MSFT
2020-03-26,148.2899169921875,MSFT
2020-03-27,142.20101928710938,MSFT
2020-03-30,152.20350646972656,MSFT
2020-03-31,149.8097686767578,MSFT
2020-04-01,144.4902801513672,MSFT
2020-04-02,147.48248291015625,MSFT
2020-04-03,146.12411499023438,MSFT
2020-04-06,156.99107360839844,MSFT
2020-04-07,155.3002166748047,MSFT
2020-04-08,156.85806274414062,MSFT
2020-04-09,156.86756896972656,MSFT
2020-04-13,157.21902465820312,MSFT
2020-04-14,164.99880981445312,MSFT
2020-04-15,163.26998901367188,MSFT
2020-04-16,168.17147827148438,MSFT
2020-04-17,169.65333557128906,MSFT
2020-04-20,166.29061889648438,MSFT
2020-04-21,159.413330078125,MSFT
2020-04-22,164.82781982421875,MSFT
2020-04-23,162.83297729492188,MSFT
2020-04-24,165.80618286132812,MSFT
2020-04-27,165.3312530517578,MSFT
2020-04-28,161.3035888671875,MSFT
2020-04-29,168.54193115234375,MSFT
2020-04-30,170.23275756835938,MSFT
2020-05-01,165.82521057128906,MSFT
2020-05-04,169.88128662109375,MSFT
2020-05-05,171.70510864257812,MSFT
2020-05-06,173.39596557617188,MSFT
2020-05-07,174.40284729003906,MSFT
2020-05-08,175.4287872314453,MSFT
2020-05-11,177.3855438232422,MSFT
2020-05-12,173.36744689941406,MSFT
2020-05-13,170.7456817626953,MSFT
2020-05-14,171.48663330078125,MSFT
2020-05-15,173.98489379882812,MSFT
2020-05-18,175.64720153808594,MSFT
2020-05-19,174.4313201904297,MSFT
2020-05-20,176.85081481933594,MSFT
2020-05-21,174.72666931152344,MSFT
2020-05-22,174.80284118652344,MSFT
2020-05-26,172.9548797607422,MSFT
2020-05-27,173.18350219726562,MSFT
2020-05-28,172.79293823242188,MSFT
2020-05-29,174.55517578125,MSFT
2020-06-01,174.15512084960938,MSFT
2020-06-02,176.1363983154297,MSFT
2020-06-03,176.5650634765625,MSFT
2020-06-04,174.24087524414062,MSFT
2020-06-05,178.31771850585938,MSFT
2020-06-08,179.42274475097656,MSFT
2020-06-09,180.7943878173828,MSFT
2020-06-10,187.50033569335938,MSFT
2020-06-11,177.43191528320312,MSFT
2020-06-12,178.83213806152344,MSFT
2020-06-15,179.9752197265625,MSFT
2020-06-16,184.38552856445312,MSFT
2020-06-17,185.02371215820312,MSFT
2020-06-18,187.0050506591797,MSFT
2020-06-19,185.89053344726562,MSFT
2020-06-22,191.0533905029297,MSFT
2020-06-23,192.329833984375,MSFT
2020-06-24,188.45291137695312,MSFT
2020-06-25,190.8342742919922,MSFT
2020-06-26,187.0145721435547,MSFT
2020-06-29,189.02442932128906,MSFT
2020-06-30,193.85389709472656,MSFT
2020-07-01,194.98745727539062,MSFT
2020-07-02,196.47335815429688,MSFT
2020-07-06,200.7027587890625,MSFT
2020-07-07,198.36900329589844,MSFT
2020-07-08,202.73165893554688,MSFT
2020-07-09,204.15098571777344,MSFT
2020-07-10,203.53179931640625,MSFT
2020-07-13,197.24496459960938,MSFT
2020-07-14,198.46429443359375,MSFT
2020-07-15,198.16896057128906,MSFT
2020-07-16,194.24444580078125,MSFT
2020-07-17,193.25375366210938,MSFT
2020-07-20,201.56004333496094,MSFT
2020-07-21,198.84523010253906,MSFT
2020-07-22,201.70291137695312,MSFT
2020-07-23,192.92990112304688,MSFT
2020-07-24,191.7487335205078,MSFT
2020-07-27,194.177734375,MSFT
2020-07-28,192.43458557128906,MSFT
2020-07-29,194.37777709960938,MSFT
2020-07-30,194.22540283203125,MSFT
2020-07-31,195.28268432617188,MSFT
2020-08-03,206.26564025878906,MSFT
2020-08-04,203.1697998046875,MSFT
2020-08-05,202.8364715576172,MSFT
2020-08-06,206.0846710205078,MSFT
2020-08-07,202.39825439453125,MSFT
2020-08-10,198.36900329589844,MSFT
2020-08-11,193.7300567626953,MSFT
2020-08-12,199.26438903808594,MSFT
2020-08-13,198.79762268066406,MSFT
2020-08-14,198.98814392089844,MSFT
2020-08-17,200.30270385742188,MSFT
2020-08-18,201.45526123046875,MSFT
2020-08-19,200.2330322265625,MSFT
2020-08-20,204.89271545410156,MSFT
2020-08-21,203.40316772460938,MSFT
2020-08-24,204.04295349121094,MSFT
2020-08-25,206.69740295410156,MSFT
2020-08-26,211.1661376953125,MSFT
2020-08-27,216.35096740722656,MSFT
2020-08-28,218.57579040527344,MSFT
2020-08-31,215.34841918945312,MSFT
2020-09-01,217.00985717773438,MSFT
2020-09-02,221.192138671875,MSFT
2020-09-03,207.4899444580078,MSFT
2020-09-04,204.57762145996094,MSFT
