Date,close,ticker
2020-01-02,8.816065788269043,PETR4.SA
2020-01-03,8.74427318572998,PETR4.SA
2020-01-06,8.847657203674316,PETR4.SA
2020-01-07,8.81319522857666,PETR4.SA
2020-01-08,8.758633613586426,PETR4.SA
2020-01-09,8.729914665222168,PETR4.SA
2020-01-10,8.692583084106445,PETR4.SA
2020-01-13,8.70981502532959,PETR4.SA
2020-01-14,8.615049362182617,PETR4.SA
2020-01-15,8.485822677612305,PETR4.SA
2020-01-16,8.47720718383789,PETR4.SA
2020-01-17,8.571972846984863,PETR4.SA
2020-01-20,8.615049362182617,PETR4.SA
2020-01-21,8.5059232711792,PETR4.SA
2020-01-22,8.411160469055176,PETR4.SA
2020-01-23,8.51453971862793,PETR4.SA
2020-01-24,8.414030075073242,PETR4.SA
2020-01-27,8.04932689666748,PETR4.SA
2020-01-28,8.270445823669434,PETR4.SA
2020-01-29,8.284804344177246,PETR4.SA
2020-01-30,8.310649871826172,PETR4.SA
2020-01-31,8.169937133789062,PETR4.SA
2020-02-03,8.092402458190918,PETR4.SA
2020-02-04,8.221627235412598,PETR4.SA
2020-02-05,8.152709007263184,PETR4.SA
2020-02-06,8.379571914672852,PETR4.SA
2020-02-07,8.307778358459473,PETR4.SA
2020-02-10,8.365211486816406,PETR4.SA
2020-02-11,8.465720176696777,PETR4.SA
2020-02-12,8.652379989624023,PETR4.SA
2020-02-13,8.534642219543457,PETR4.SA
2020-02-14,8.448490142822266,PETR4.SA
2020-02-17,8.431260108947754,PETR4.SA
2020-02-18,8.543255805969238,PETR4.SA
2020-02-19,8.772992134094238,PETR4.SA
2020-02-20,8.592072486877441,PETR4.SA
2020-02-21,8.368083000183105,PETR4.SA
2020-02-26,7.526678562164307,PETR4.SA
2020-02-27,7.265356540679932,PETR4.SA
2020-02-28,7.2768425941467285,PETR4.SA
2020-03-02,7.618575096130371,PETR4.SA
2020-03-03,7.4807329177856445,PETR4.SA
2020-03-04,7.7219557762146,PETR4.SA
2020-03-05,7.262487411499023,PETR4.SA
2020-03-06,6.556051731109619,PETR4.SA
2020-03-09,4.609050273895264,PETR4.SA
2020-03-10,5.0426740646362305,PETR4.SA
2020-03-11,4.5516180992126465,PETR4.SA
2020-03-12,3.6183202266693115,PETR4.SA
2020-03-13,4.422391891479492,PETR4.SA
2020-03-16,3.759033441543579,PETR4.SA
2020-03-17,3.733187675476074,PETR4.SA
2020-03-18,3.2421295642852783,PETR4.SA
2020-03-19,3.506324052810669,PETR4.SA
2020-03-20,3.446019411087036,PETR4.SA
2020-03-23,3.3024344444274902,PETR4.SA
2020-03-24,3.804979085922241,PETR4.SA
2020-03-25,4.112250328063965,PETR4.SA
2020-03-26,4.132351398468018,PETR4.SA
2020-03-27,3.8193376064300537,PETR4.SA
2020-03-30,3.8423120975494385,PETR4.SA
2020-03-31,4.017484188079834,PETR4.SA
2020-04-01,4.106505870819092,PETR4.SA
2020-04-02,4.453979969024658,PETR4.SA
2020-04-03,4.405161380767822,PETR4.SA
2020-04-06,4.528644561767578,PETR4.SA
2020-04-07,4.709559440612793,PETR4.SA
2020-04-08,4.9737548828125,PETR4.SA
2020-04-09,4.83017110824585,PETR4.SA
2020-04-13,4.861758708953857,PETR4.SA
