close,SMA_20,SMA_50,EMA_20,returns,volatility_20,volatility_60,RSI,MACD,MACD_signal,MACD_hist,BB_middle,BB_std,BB_upper,BB_lower,BB_width,retorno,Hurst_50,Hurst_100,Hurst_150,Hurst_200,return_1d,direction_1d,volatility_1d,return_5d,direction_5d,volatility_5d,return_10d,direction_10d,volatility_10d,return_20d,direction_20d,volatility_20d,outlier_zscore,outlier_iqr,SMA_20_norm,SMA_50_norm,EMA_20_norm,returns_norm,volatility_20_norm,volatility_60_norm,RSI_norm,MACD_norm,MACD_signal_norm,MACD_hist_norm,BB_middle_norm,BB_std_norm,BB_upper_norm,BB_lower_norm,BB_width_norm,retorno_norm,Hurst_50_norm,Hurst_100_norm,Hurst_150_norm,Hurst_200_norm,return_1d_norm,direction_1d_norm,volatility_1d_norm,return_5d_norm,direction_5d_norm,volatility_5d_norm,return_10d_norm,direction_10d_norm,volatility_10d_norm,return_20d_norm,direction_20d_norm,volatility_20d_norm,ticker,date,signal,position_size,strategy_returns
8.81606674194336,,,8.81606674194336,,,,,0.0,0.0,0.0,,,,,,,0.5,0.5,0.5,0.5,-0.0081432742022232,0,,-0.0097721670267437,0,0.1258931678119401,-0.0384366999137631,0,0.116634010778748,-0.0573289575994589,0,0.225848453843722,False,False,,,-0.749109120033139,,,,,-0.6051331046763053,-0.651034034699252,-0.1327292482975004,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-02,-1.0,2.0,
8.744275093078613,,,8.778376126289368,-0.0081432742022232,,,,-0.0016107100706843,-0.0008948389281579,-0.0007158711425263,,,,,,-0.0081432742022232,0.5,0.5,0.5,0.5,0.0118225065511241,1,,-0.0059114168696232,0,0.1165280621305137,-0.019704359356386,0,0.1356729001125155,-0.0656813796257993,0,0.230682682671546,False,False,,,-0.7532464015041364,,,,,-0.6125689488720538,-0.6555949455006767,-0.1419763329806853,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-03,-1.0,2.0,0.0162865484044464
8.847654342651367,,,8.8038146720143,0.0118225065511241,,,,0.0011534200085741,-5.538854425138858e-05,0.0012088085528254,,,,,,0.0118225065511241,0.5,0.5,0.5,0.5,-0.0038947174855816,0,,-0.0155793010958413,0,0.0485574346609861,-0.0262899089166642,0,0.1196952400758263,-0.0853621441609202,0,0.2244863407201185,False,False,,,-0.7504540240900059,,,,,-0.5998083403800396,-0.6513163449584529,-0.117114769113038,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-06,-1.0,2.0,-0.0236450131022482
8.81319522857666,,,8.806522693657817,-0.0038947174855816,,,,0.0011381999707538,0.0003489436085281,0.0007892563622256,,,,,,-0.0038947174855816,0.5,0.5,0.5,0.5,-0.006191225157053,0,,-0.0224827554117086,0,0.0740857293093454,-0.0348647728865133,0,0.1299419137752419,-0.067122987500142,0,0.2358145847292497,False,False,,,-0.7501567658050355,,,,,-0.5998786036955455,-0.6492555015765364,-0.1225342285730194,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-07,-1.0,2.0,0.0077894349711632
8.758630752563477,,,8.794938040658668,-0.006191225157053,,,,-0.0010652784211266,-7.175547216403094e-05,-0.0009935229489626,,,,,,-0.006191225157053,0.5,0.5,0.5,0.5,-0.0032786046303988,0,,-0.0311474517344668,0,0.1060422729969186,-0.0396718673270841,0,0.1350738832453021,-0.0691803978401779,0,0.236291166761922,False,False,,,-0.7514284078137867,,,,,-0.610050963270947,-0.651399765667984,-0.1455628300665919,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-08,-1.0,2.0,0.012382450314106
8.729914665222168,,,8.78122107854048,-0.0032786046303988,,,,-0.0035977607774722,-0.0010274989520051,-0.002570261825467,,,,,,-0.0032786046303988,0.5,0.5,0.5,0.5,-0.0042761732357043,0,,-0.0289474118304182,0,0.111185004977683,-0.0246709108683775,0,0.1580786842342447,-0.0401314007821079,0,0.2611213841440683,False,False,,,-0.7529341124096188,,,,,-0.6217421698841062,-0.6562711013055288,-0.1659299562827024,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-09,-1.0,2.0,0.0065572092607976
8.692584037780762,,,8.764462008060036,-0.0042761732357043,,,,-0.0068510365367568,-0.00250128095686,-0.0043497555798968,,,,,,-0.0042761732357043,0.5,0.5,0.5,0.5,0.0019821532699164,1,,-0.0138749631781596,0,0.1656577050146771,-0.0320449026230316,0,0.1648842514163504,-0.0442682725468974,0,0.2620782487655581,False,False,,,-0.754773747835222,,,,,-0.6367609197585439,-0.663782831130163,-0.1889161174266466,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-10,-1.0,2.0,0.0085523464714086
8.709814071655273,,,8.755015837658068,0.0019821532699164,,,,-0.008102845130443,-0.0038474421652096,-0.0042554029652333,,,,,,0.0019821532699164,0.5,0.5,0.5,0.5,-0.0108801123673505,0,,-0.0108801123673505,0,0.1724017759117756,-0.0758325228935994,0,0.2565136776414783,-0.0395648612018392,0,0.263684326098432,False,False,,,-0.7558106495970485,,,,,-0.6425398950284967,-0.6706440896230844,-0.1876973413564251,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-13,-1.0,2.0,-0.0039643065398328
8.615050315856934,,,8.732564683563131,-0.0108801123673505,,,,-0.0135479856661131,-0.0060883158385628,-0.0074596698275503,,,,,,-0.0108801123673505,0.5,0.5,0.5,0.5,-0.0150003293284411,0,,-0.0126668020879976,0,0.1784691890985139,-0.0400002878164528,0,0.3100156551082437,-0.0173335244729776,0,0.2658404434232341,False,False,,,-0.7582751024118342,,,,,-0.6676773902140791,-0.6820656143464928,-0.2290876492808377,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-14,0.0,2.0,0.021760224734701
8.485821723937988,,,8.695407331830411,-0.0150003293284411,,,,-0.0238699944578684,-0.0100724440743145,-0.0137975503835538,,,,,,-0.0150003293284411,0.5,0.5,0.5,0.5,-0.0010152810245954,0,,-0.0087984653680045,0,0.162853771059773,-0.0236883921147031,0,0.3045742364594883,0.0196277175540784,1,0.2719403706798707,False,False,,,-0.7623538477485088,,,,,-0.7153289511992457,-0.7023723454607798,-0.3109556206680429,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-15,0.0,2.0,-0.0
8.477206230163574,,,8.664271600218013,-0.0010152810245954,,,,-0.0314530800981902,-0.014750405068751,-0.0167026750294392,,,,,,-0.0010152810245954,0.5,0.5,0.5,0.5,0.0111792165481023,1,,0.0044039849274299,1,0.1913965554631982,-0.0196474404586795,0,0.3057398835296222,0.0067751191220155,1,0.2768758892386304,False,False,,,-0.7657716026259693,,,,,-0.7503362714927687,-0.7262154776232217,-0.3484818345630514,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-16,0.0,2.0,-0.0
8.571974754333496,,,8.651698171216541,0.0111792165481023,,,,-0.0313789795153081,-0.0183215254843861,-0.0130574540309219,,,,,,0.0111792165481023,0.5,0.5,0.5,0.5,0.0050251619676855,1,,-0.0184255938815137,0,0.1832941630478892,-0.0469011779336557,0,0.3048557309044437,-0.0144056200642452,0,0.2762724567322374,False,False,,,-0.7671517821197787,,,,,-0.7499941860987835,-0.7444171462859676,-0.3013956129516382,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-17,0.0,2.0,0.0
8.615050315856934,,,8.646902285161087,0.0050251619676855,,,,-0.0284745098418497,-0.0204702497199745,-0.0080042601218751,,,,,,0.0050251619676855,0.5,0.5,0.5,0.5,-0.0126668020879976,0,,-0.0656668734886176,0,0.3139855165640135,-0.0606671696074682,0,0.3006704907717191,-0.0213335089751686,0,0.2755081964130962,False,False,,,-0.7676782243168604,,,,,-0.7365856997695608,-0.7553689938945104,-0.2361222568660667,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-20,0.0,2.0,0.0
8.505925178527832,,,8.629088099813226,-0.0126668020879976,,,31.25009368985832,-0.0322551262687706,-0.0229356546868646,-0.009319471581906,,,,,,-0.0126668020879976,0.5,0.5,0.5,0.5,-0.011141135286047,0,,-0.0276841554464689,0,0.4279623746293419,-0.0334235179769638,0,0.3170146632885817,0.0043890034307239,1,0.2762488053222022,False,False,,,-0.7696336792141011,,,,,-0.7540389182140987,-0.7679349337408266,-0.2531111687312382,,,,,,,-1.5315034896820103,-1.5866992150415646,-1.7305849422258437,-1.7243908868932407,,0,,,0,,,0,,,0,,PETR4.SA,2020-01-21,0.0,2.0,-0.0
